source_id,source_type,product_version,title,contract_or_adr,delivery_slice,code_location,acceptance_or_test,evidence,status,notes
OD-S2-009,Owner Decision,V1,Deterministic D7 D14 D30 observed-demand policy,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/DemandPolicyEngine.java,S2-AC-025;S2-AC-026;S2-AC-027;S2-AC-028,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,VERIFIED,Observable interval union and exact censoring predicates
OD-S2-010,Owner Decision,V1,Completed Sales primary with Retained Return quality Guardrail,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/ReturnQualityAssessment.java;backend/marketops-server/src/main/java/com/mimococo/marketops/operatingfacts/internal/application/ReturnInventoryTransitionService.java,S2-AC-029;S2-AC-030;S2-AC-031,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,VERIFIED,V0035 append-only coverage snapshots distinguish absent zero stale incomplete conflicted and observed-return authority; inventory re-entry remains append-only
OD-S2-011,Owner Decision,V1,Availability-aware censored windows with bounded carry-forward,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/DemandPolicyEngine.java,S2-AC-032;S2-AC-033;S2-AC-034,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,VERIFIED,Carry-forward requires every window censored and expires deterministically
OD-S2-012,Owner Decision,V1,Lane-based cause-routed deduplicated automatic Tasking,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/AvailabilityCaseActivationService.java,S2-AC-049;S2-AC-050;S2-AC-051;S2-AC-052,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,VERIFIED,One live case per exact cause under database concurrency
OD-S2-013,Owner Decision,V1,Two-stage action then outcome verification with same-case reopen,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow/internal/application/AvailabilityCaseService.java,S2-AC-053;S2-AC-054;S2-AC-055;S2-AC-056;S2-AC-057;S2-AC-058;S2-AC-059,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,VERIFIED,Only the calculated observer can verify success
OD-S2-014,Owner Decision,V1,Time-bounded evidence-backed role-scoped Accepted Exception,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow/internal/application/AvailabilityExceptionService.java,S2-AC-060;S2-AC-061;S2-AC-062;S2-AC-063;S2-AC-064;S2-AC-065;S2-AC-066;S2-AC-067,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,VERIFIED,Exact action-SLA pause/resume and direct or delegated authority drift invalidation preserve calculated risk and the same Case
OD-S2-015,Owner Decision,V1,Lane duration recurrence and materiality escalation to Owner authority,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow/internal/application/AvailabilityExceptionService.java,S2-AC-008;S2-AC-009;S2-AC-060;S2-AC-062,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,VERIFIED,Requester separation and relational tenant binding enforced
OD-S2-016,Owner Decision,V1,Defer STOCK_CHANGE and keep Queue Task only,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/test/java/com/mimococo/marketops/availabilityrisk/AvailabilityNonGoalsTest.java,S2-AC-084;S2-AC-085,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,VERIFIED,No stock write target or hidden manual write path exists
OD-S2-017,Owner Decision,V1,Defer Overstock Slow-moving Allocation and intervention workflows,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/test/java/com/mimococo/marketops/availabilityrisk/AvailabilityNonGoalsTest.java,S2-AC-005;S2-AC-006,docs/07-phase-evidence/SLICE-V1-002/acceptance-status.md,VERIFIED,Adjacent capabilities remain explicitly out of scope
OD-S2-018,Owner Decision,V1,Fact-triggered targeted recalculation plus periodic full reconciliation,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/AvailabilityRecalculationScheduler.java,S2-AC-068;S2-AC-069;S2-AC-072;S2-AC-073;S2-AC-074;S2-AC-075;S2-AC-076,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,VERIFIED,Total cursor full paging restart recovery late stale evidence and append-only targeted or reconciliation trace continuity are executable
OD-S2-019,Owner Decision,V1,Exact Channel continuity with asymmetric fail-closed Company risk,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/ChannelRiskCalculator.java;backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/CompanyRiskCalculator.java,S2-AC-013;S2-AC-014;S2-AC-018;S2-AC-019;S2-AC-020,docs/07-phase-evidence/SLICE-V1-002/executable-evidence.md,VERIFIED,Company blocker cannot suppress independently exact channel stockout
OD-S2-020,Owner Decision,V1,Critical P95 five minutes hard fifteen and hourly reconciliation,SLICE-V1-002,SLICE-V1-002,backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/domain/AvailabilitySlo.java;backend/marketops-server/src/main/java/com/mimococo/marketops/availabilityrisk/internal/application/AvailabilityReconciliationWorker.java,S2-AC-070;S2-AC-071;S2-AC-072;S2-AC-095;S2-AC-096,docs/07-phase-evidence/SLICE-V1-002/V0034-root-cause-rework-evidence.md,VERIFIED,Actual-path 5000-Variant targeted and full-sweep PostgreSQL capacity with 50 dropped-trigger recoveries is local synthetic evidence
HR-01,Hard Rule,V1,Raw cannot be lost,ADR-0002;V1_SHARED_SPINE,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S1-AC-012;S1-AC-013;S1-AC-014;S1-AC-015,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/executable-evidence.md,IMPLEMENTING,Raw custody and immutable provenance; real provider evidence pending
HR-02,Hard Rule,V1,All synchronization is idempotent,ADR-0002;V1_SHARED_SPINE,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration;backend/marketops-server/src/main/java/com/mimococo/marketops/operatingfacts,S1-AC-014;S1-AC-030,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/executable-evidence.md,IMPLEMENTING,DB fencing and source-key replay; local Raw crash/replay drill; no write enablement
HR-05,Hard Rule,V1,Marketplace write fully controlled,ADR-0008;SLICE-V1-001-AMENDMENT-002,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration;backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow;backend/marketops-server/src/main/java/com/mimococo/marketops/analyticsdecision,S1-AC-027;S1-AC-028;S1-AC-029;S1-AC-030;S1-AC-031;S1-AC-032;S1-AC-033;S1-AC-034,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/r2-finding-closure.json;docs/07-phase-evidence/SLICE-V1-001/deferred-evidence-register.json,CONTRACT_DEFINED,"One DB evaluation_as_of binds all Guardrail inputs and exact evaluated/snapshot identities; exact targetPrice plus optional fulfillmentModeCode schema has no extras; selected mode is durable through approval/command/worker; transaction-time currentness remains fail-closed; Gate EV/E remain required"
GATE-EV,Governance Gate,V1,Bounded real-write verification authorization,QUALITY_GATES;V1_PRODUCT_CONTRACT;SLICE-V1-001-AMENDMENT-002,SLICE-V1-001,docs/00-governance/QUALITY_GATES.md,S1-AC-031;S1-AC-032;S1-AC-033,docs/07-phase-evidence/SLICE-V1-001/deferred-evidence-register.json,CONTRACT_DEFINED,Exact Human Owner-approved future RELEASE-V1-001 envelope only; no recurring or production authority
IAM-V1,V1 Contract,V1,OIDC MFA and scoped business authorization,ADR-0007;SLICE-V1-001-AMENDMENT-002,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/identityaccess,S1-AC-001;S1-AC-002;S1-AC-003;S1-AC-004,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/deferred-evidence-register.json,IMPLEMENTING,Signed JWT issuer/audience/MFA/live authorization fail closed; exact real IdP portions are OWNER_ACCEPTED_DEFERRED_TO_RELEASE_V1_001
DATA-V1,V1 Contract,V1,Internal COGS stock finance manual/CSV intake,V1_PRODUCT_CONTRACT,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/operatingfacts,S1-AC-017;S1-AC-018,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/executable-evidence.md,IMPLEMENTING,Typed complete CSV/XLSX import and recovery implemented; real redacted schemas remain external
METRIC-V1,V1 Contract,V1,Versioned deterministic metrics and Contribution Profit,V1_PRODUCT_CONTRACT,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/analyticsdecision,S1-AC-019;S1-AC-020;S1-AC-021;S1-AC-022,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/05-testing/V1_PRODUCTION_ASSURANCE_MATRIX.md;docs/07-phase-evidence/SLICE-V1-001/post-merge-closure-sync.md,IMPLEMENTING,"Exact FactWindow and mutation-sensitive identity; four-state FeeFamily coverage; target-aware versioned Break-even/Minimum profile/components; one DB-captured evaluation_as_of and exact evaluated/snapshot identity; engineering evidence accepted by Controller comment 5469390502 and merged in d562b81f4f0271aa33a53b21ccaffc88b5610c0c; production readiness remains deferred"
AI-V1,V1 Contract,V1,Grounded cross-domain analysis and recommendation,V1_AI_DATA_AND_EXECUTION_BOUNDARY;SLICE-V1-001-AMENDMENT-002,SLICE-V1-001,backend/marketops-server/src/main/java/com/mimococo/marketops/aicopilot,S1-AC-023;S1-AC-024;S1-AC-025;S1-AC-026,docs/07-phase-evidence/SLICE-V1-001/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-001/deferred-evidence-register.json,IMPLEMENTING,Versioned schema and safe recovery remain engineering evidence; real provider and Owner golden review are OWNER_ACCEPTED_DEFERRED_TO_RELEASE_V1_001
UI-V1,V1 Contract,V1,Structured operations UI with AI enhancement,V1_PRODUCT_CONTRACT,SLICE-V1-001,frontend/marketops-console/src/ConsoleShell.tsx,S1-AC-035;S1-AC-036;S1-AC-037,docs/07-phase-evidence/SLICE-V1-001/rework-r1/business-browser-129/ARTIFACT-HASHES.json;docs/07-phase-evidence/SLICE-V1-001/r2-final-handoff.md;docs/07-phase-evidence/SLICE-V1-001/post-merge-closure-sync.md,IMPLEMENTING,"Exact-final-Head 11-scenario browser journey, bounded export, safe-state presentation and durable fulfillmentModeCode passed Controller Engineering Final Gate; real identity/Marketplace providers remain deferred"
OD-S3-001,Owner Decision,V1,Improve Advertising Contribution Profit efficiency while preserving current sales volume,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency,S3-AC-032;S3-AC-033;S3-AC-034,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Dual-axis Pareto efficiency plus sales preservation is the only primary success; a still-negative result is IMPROVED_NOT_HEALTHY
OD-S3-003,Owner Decision,V1,Atomic Case is the minimum verified independently controllable native object plus the complete affected Internal Variant set,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency/internal/domain,S3-AC-009;S3-AC-010;S3-AC-011,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,"Affected-set digest freezes into Preview, Approval, Command and Evaluation Plan; an estimated SKU allocation never becomes executable"
OD-S3-004,Owner Decision,V1,Common business Case envelope with versioned platform-native Ozon/Wildberries Semantic Profiles,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S3-AC-013;S3-AC-014,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Shipped Profiles are synthetic fixtures marked UNVERIFIED; unknown native state fails closed for every dependent purpose
OD-S3-005,Owner Decision,V1,Provider-native attribution stays an observation; company qualified sales and canonical profit govern protection and outcome,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/analyticsdecision,S3-AC-021;S3-AC-022;S3-AC-023,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Two ledgers carried side by side and never merged; a material attribution gap is DATA_REPAIR and fails closed for write-grade Max CPC
OD-S3-010,Owner Decision,V1,"Deterministic lanes: PROTECTION, DATA_REPAIR, OPTIMIZATION and WATCH",SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency/internal/domain,S3-AC-055;S3-AC-056;S3-AC-057,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Short-circuit ladder whose order is load-bearing; unknown alone carries no direction
OD-S3-011,Owner Decision,V1,Both platforms get a full governed Manual Shadow plus exactly one selected controlled-write Capability,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency;backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow,S3-AC-075;S3-AC-076;S3-AC-077,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Graded configuration verification; a Manual Packet never creates a hidden Provider API path
OD-S3-012,Owner Decision,V1,The selected controlled-write Capability is AD_BID_CHANGE,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S3-AC-085;S3-AC-086;S3-AC-087,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,"Budget, pause/resume, strategy/mode and structure writes are absent by construction and checked by a whole-tree marker scan"
OD-S3-016,Owner Decision,V1,Initial Ordinary nonzero envelope is zero; every nonzero Bid Command is Material; Standing automation is disabled,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow,S3-AC-097;S3-AC-098;S3-AC-099,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Maker to Operations endorsement to Human Owner final per-command approval; the Ordinary route exists structurally and is not promoted
OD-S3-017,Owner Decision,V1,Configuration success requires the exact approved native target under versioned representation normalization,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S3-AC-113;S3-AC-114;S3-AC-115,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,"Provider acceptance is not success; a third value is never overwritten; adapter runtime rounding is refused in Java, in SQL and by an architecture test"
OD-S3-019,Owner Decision,V1,"Compensation is human-triggered, exact prior-Bid only, current-state-owned and never an automatic rollback",SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S3-AC-122;S3-AC-123;S3-AC-124,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Eligible only while the official bid still equals what this Command wrote and no later external change owns the state
OD-S3-032,Owner Decision,V1,Affected-set action observation reservation permits one active overlapping governed intervention,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency/internal/application,S3-AC-131;S3-AC-132,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Governed manual and controlled actions consume the same reservation and the same aggregate exposure
OD-S3-037,Owner Decision,V1,Advertising profit Outcome is two-stage: 30-day Operational result then Settled confirmation,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency/internal/application,S3-AC-159;S3-AC-160;S3-AC-161,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Settled contradiction preserves the historical Operational version and reopens the same lineage
OD-S3-041,Owner Decision,V1,Emergency containment is asymmetric: several scoped actors may stop; reenablement is cause-specific and multi-party,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency;backend/marketops-server/src/main/java/com/mimococo/marketops/marketplaceintegration,S3-AC-145;S3-AC-146;S3-AC-147,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Quarantine and Kill stop any new external side effect at their authoritative instant; old decision assets never resurrect
OD-S3-046,Owner Decision,V1,Interdependent decision policies activate as one scope-bound whole-combination-validated Advertising Decision Policy Bundle,SLICE-V1-003,SLICE-V1-003,backend/marketops-server/src/main/java/com/mimococo/marketops/operationsworkflow,S3-AC-176;S3-AC-177;S3-AC-178,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,No unique complete active Bundle means the write path fails closed; rollback is a new audited version
OD-S3-047,Owner Decision,V1,"Live Queue, Daily Action Brief and Weekly Evidence Review share one Canonical Truth",SLICE-V1-003,SLICE-V1-003,frontend/marketops-console/src/advertising;backend/marketops-server/src/main/java/com/mimococo/marketops/advertisingefficiency/internal/web,S3-AC-182;S3-AC-183;S3-AC-184,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,Daily and Weekly are read-only versioned projections; late data creates a revision and never overwrites a published artifact
ADV-REL-V1,Owner Decision,V1,Deferred real advertising Release and Capability obligations,SLICE-V1-003,SLICE-V1-003,docs/07-phase-evidence/SLICE-V1-003/deferred-release-register.json,S3-REL-001;S3-REL-024,docs/07-phase-evidence/SLICE-V1-003/acceptance-status.md;docs/07-phase-evidence/SLICE-V1-003/executable-evidence.md,CONTRACT_DEFINED,All twenty-four rows stay production-blocking for the exact scope that consumes them; engineering fixtures cannot be promoted to real-provider evidence
